v1,v2,v3,v4,v5,v6,P1,P2
8817.822089362542,9520.177717039182,572.070637422238,6968.604639305159,4369.325859234492,4561.7417963756025,115.5319693852216,1086.3197919500526
8913.116667331495,9502.997548800471,441.5919807414367,6938.568563639538,4272.588513732034,4508.89207227433,173.14369164407253,1081.635747375898
2959.9032854987236,9659.134611087537,670.5624624216961,2142.540142204543,8168.445040032508,8798.368955796794,224.39967085700482,207.5950921077747
3015.7866169000554,9646.959620155005,740.9106478623173,2056.539487809136,8242.014419411224,8715.571265637194,287.08917429763824,220.97773467143998
2972.8842770841875,9624.265650449814,687.0489231944814,2176.76257819836,8249.370796489611,8846.00798919302,234.58621176332235,208.69729790347628
2905.409930056607,9551.12574121055,785.0258189682293,2151.923210060054,8270.80557576398,8788.614212450933,307.8165647312999,212.26249726908281
7088.278907953256,8944.491431673694,1163.009481534139,6568.510228164702,3941.205439563414,2178.3751383991657,374.52161768078804,162.592753541423
7054.920812119755,8920.661514777958,1182.5695535188656,6604.744938413589,3948.905150872955,2128.1161928520414,398.9662150219083,148.33904054784216
7059.469544462604,8974.624022746948,1158.9362203978826,6541.075851243756,4044.3337142260366,2119.616264184955,413.39179557934403,134.29475223179907
6984.5842740183525,9038.1632828662,1258.732298232445,6539.212392992816,3862.2591611205366,2152.763297616552,421.8023080639541,157.62920106737874
6974.790931591751,8879.1073576802,1205.4577455828041,6558.109690049592,3890.130865280571,2027.533091094259,430.3294117655605,129.1003562787082
7086.187546549846,8953.838407284118,1172.5756695595207,6588.140293933962,3922.679171338024,2042.229107863093,415.91410117037594,130.91714390192647
6997.12360450314,9010.528863716358,1254.4255136616514,6532.5380448617525,3981.669892105481,1997.2789583020212,494.5563802011311,111.30199716624338
7118.726426547009,9007.029928935712,1243.8196599241016,6676.932187623861,4009.8985873622546,1983.3020909947443,483.79689706489444,113.08078886428848
7101.747740296598,9039.912239449457,1296.0706202127747,6514.014457992313,4036.866170467846,2086.655899663765,495.0518450252712,134.2475549208466
7072.592705826549,8961.288892050052,1164.7982032779132,6528.138419779942,4126.590007679169,2005.9770615448042,469.46723188459873,104.27446191944182
2070.5554702930344,6727.885116934455,2140.449236784615,7641.858070373427,1870.951977117383,1378.9711796992792,562.0379157420248,8.043553056544624
2108.7277707589487,6695.082141814038,2122.653219303577,7604.803887807941,1839.6289811881813,1376.7574726041837,536.2760077295825,8.951324081572238
2110.395621720858,6674.037791402427,2170.2083781316733,7650.6456045451,1904.131278720757,1347.1733515892802,602.018037520349,7.827896994771436
2064.1783556279224,6750.9209749666825,2137.4524302630225,7607.04268099175,1868.125107491086,1403.9078510335398,555.3841887637973,8.558470963325817
2084.0051714347733,6717.527200452906,2148.3688456082186,7542.930541747776,1869.589796910549,1315.394246255327,602.8175083044916,7.619921765348408
